file_name,strategy,splits,backtracks,clauses,variables,givens,pos,neg,unit_rule,pure_rule,execution_time
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/673.txt,Grab First,16,15,12013,729,25,22401,65618,32,32,2.5877339839935303
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/840.txt,Grab First,3,3,12014,729,26,5955,29181,7,7,2.168354034423828
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/698.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.1431679725646973
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/854.txt,Grab First,9,7,12014,729,26,14460,49822,17,17,2.277080774307251
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/14.txt,Grab First,7,4,12010,729,22,9625,36531,12,12,2.203089952468872
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/868.txt,Grab First,3,0,12014,729,26,5664,30254,4,4,2.333935022354126
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/28.txt,Grab First,0,0,12011,729,23,2939,23328,1,1,2.135838031768799
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/713.txt,Grab First,3,0,12014,729,26,5698,29854,4,4,2.1706161499023438
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/707.txt,Grab First,0,0,12014,729,26,2942,23328,1,1,2.098567008972168
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/934.txt,Grab First,24,23,12015,729,27,39650,108209,48,48,3.244180917739868
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/920.txt,Grab First,8,3,12015,729,27,8977,35274,12,12,2.310054302215576
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/908.txt,Grab First,3,2,12014,729,26,6422,32758,6,6,2.4328341484069824
